,Zipcode,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Cleaning Fee,Free Parking,Wireless Internet,Cable TV,Prop_encoded,cancel_encoded,Price
30577,60611.0,0.0,1.0,1.0,95.0,2.0,50.0,0.0,1.0,1.0,1.0,2.0,140.0
30602,60654.0,140.0,1.0,1.0,95.0,2.0,39.0,0.0,1.0,1.0,1.0,0.0,99.0
30751,78703.0,600.0,1.0,1.0,97.0,2.0,75.0,1.0,1.0,0.0,1.0,2.0,125.0
30796,78757.0,920.0,2.0,1.0,98.0,4.0,100.0,1.0,1.0,0.0,1.0,2.0,73.0
30819,78703.0,2100.0,4.0,2.5,100.0,6.0,200.0,1.0,1.0,0.0,1.0,2.0,650.0
30837,78731.0,0.0,3.0,3.0,94.0,12.0,250.0,1.0,1.0,1.0,1.0,2.0,500.0
30843,78745.0,260.0,1.0,1.0,97.0,4.0,25.0,1.0,1.0,0.0,1.0,0.0,70.0
30876,78702.0,1225.0,2.0,1.5,98.0,6.0,60.0,1.0,1.0,1.0,1.0,2.0,160.0
31042,78759.0,130.0,1.0,1.5,97.0,3.0,30.0,1.0,1.0,0.0,1.0,0.0,79.0
31250,37214.0,1380.0,3.0,2.0,98.0,8.0,35.0,0.0,1.0,1.0,1.0,0.0,135.0
31308,2120.0,1200.0,1.0,2.0,89.0,3.0,200.0,0.0,1.0,1.0,1.0,2.0,115.0
31336,2127.0,1600.0,1.0,1.0,100.0,2.0,100.0,0.0,1.0,1.0,1.0,2.0,150.0
31598,10010.0,800.0,1.0,1.0,99.0,2.0,85.0,0.0,1.0,0.0,1.0,2.0,300.0
31661,11211.0,850.0,1.0,1.0,94.0,6.0,125.0,0.0,1.0,0.0,1.0,2.0,160.0
31774,10039.0,144.0,1.0,1.0,100.0,3.0,50.0,0.0,1.0,0.0,1.0,2.0,75.0
31908,10029.0,350.0,1.0,1.0,92.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,120.0
32022,10040.0,600.0,1.0,1.0,100.0,2.0,40.0,0.0,1.0,0.0,1.0,2.0,97.0
32376,10009.0,700.0,1.0,1.0,89.0,3.0,100.0,0.0,1.0,1.0,1.0,2.0,195.0
32392,10003.0,800.0,2.0,1.0,95.0,3.0,50.0,0.0,1.0,1.0,1.0,0.0,240.0
32671,11106.0,0.0,1.0,1.0,88.0,2.0,30.0,0.0,1.0,1.0,1.0,0.0,100.0
32696,70117.0,800.0,2.0,1.0,98.0,6.0,75.0,0.0,1.0,1.0,1.0,2.0,164.0
32700,70125.0,0.0,1.0,1.0,90.0,2.0,20.0,1.0,1.0,1.0,1.0,0.0,100.0
32760,70117.0,350.0,1.0,1.0,98.0,2.0,50.0,1.0,1.0,0.0,1.0,2.0,89.0
32762,70117.0,650.0,1.0,1.0,98.0,2.0,65.0,0.0,1.0,0.0,1.0,2.0,115.0
41072,10010.0,500.0,1.0,1.0,80.0,6.0,60.0,0.0,1.0,1.0,1.0,2.0,206.0
41551,11102.0,520.0,1.0,1.0,95.0,4.0,60.0,0.0,1.0,0.0,1.0,2.0,115.0
41673,20024.0,1600.0,3.0,2.5,97.0,8.0,175.0,1.0,1.0,1.0,1.0,2.0,379.0
41761,20002.0,3000.0,4.0,4.0,85.0,9.0,120.0,1.0,1.0,1.0,1.0,2.0,500.0
41767,20002.0,140.0,1.0,1.5,94.0,2.0,20.0,0.0,1.0,0.0,1.0,0.0,50.0
41930,94611.0,2000.0,1.0,1.5,97.0,4.0,75.0,0.0,1.0,1.0,1.0,0.0,235.0
41955,92139.0,180.0,1.0,1.0,91.0,2.0,10.0,0.0,1.0,0.0,1.0,0.0,70.0
41968,92106.0,1543.0,3.0,2.0,98.0,8.0,100.0,0.0,1.0,1.0,1.0,0.0,315.0
42057,94127.0,1100.0,2.0,1.0,97.0,5.0,150.0,1.0,1.0,1.0,1.0,2.0,345.0
42095,92101.0,0.0,1.0,1.0,88.0,2.0,50.0,0.0,1.0,1.0,1.0,2.0,99.0
42170,94118.0,1100.0,2.0,1.0,95.0,4.0,40.0,0.0,1.0,0.0,1.0,0.0,165.0
42186,94123.0,2800.0,4.0,3.0,94.0,7.0,300.0,0.0,1.0,1.0,1.0,2.0,900.0
42196,94158.0,130.0,3.0,2.0,98.0,6.0,250.0,1.0,1.0,1.0,1.0,2.0,500.0
42274,94109.0,650.0,1.0,1.0,97.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,79.0
42281,92105.0,50.0,1.0,1.5,96.0,1.0,30.0,0.0,1.0,0.0,1.0,0.0,38.0
42489,94114.0,850.0,1.0,1.0,96.0,2.0,100.0,0.0,1.0,1.0,1.0,2.0,195.0
42544,95006.0,400.0,1.0,1.0,88.0,2.0,20.0,0.0,0.0,0.0,1.0,2.0,75.0
42628,97211.0,1.0,2.0,1.0,91.0,6.0,100.0,1.0,1.0,1.0,1.0,2.0,150.0
42711,98118.0,700.0,1.0,1.0,96.0,3.0,30.0,0.0,1.0,0.0,1.0,2.0,90.0
42756,98112.0,500.0,1.0,1.0,94.0,2.0,72.0,0.0,1.0,1.0,1.0,2.0,125.0
42766,20009.0,1400.0,3.0,2.0,84.0,9.0,85.0,0.0,1.0,1.0,1.0,0.0,260.0
42923,20002.0,760.0,2.0,1.0,100.0,4.0,25.0,1.0,1.0,1.0,1.0,0.0,250.0
43020,20008.0,4500.0,5.0,3.5,96.0,15.0,180.0,1.0,1.0,1.0,1.0,2.0,495.0
43291,78701.0,1.0,3.0,2.0,96.0,10.0,125.0,1.0,1.0,1.0,1.0,2.0,490.0
43332,78704.0,2700.0,3.0,4.0,100.0,6.0,240.0,1.0,1.0,0.0,1.0,2.0,750.0
43336,78704.0,1850.0,2.0,2.5,100.0,4.0,125.0,1.0,1.0,1.0,1.0,0.0,300.0
43349,78704.0,1.0,3.0,1.0,92.0,6.0,75.0,1.0,1.0,0.0,1.0,2.0,245.0
43446,78721.0,1600.0,3.0,2.5,98.0,8.0,100.0,1.0,1.0,0.0,1.0,2.0,135.0
43540,78704.0,2500.0,4.0,3.5,98.0,10.0,135.0,1.0,1.0,1.0,1.0,2.0,675.0
43625,78748.0,800.0,7.0,7.0,100.0,16.0,275.0,1.0,1.0,0.0,1.0,2.0,699.0
43713,78749.0,2600.0,1.0,2.0,100.0,4.0,50.0,0.0,1.0,1.0,1.0,0.0,200.0
43834,80205.0,1.0,1.0,1.0,94.0,2.0,25.0,0.0,1.0,0.0,1.0,0.0,68.0
43927,2118.0,450.0,1.0,1.0,87.0,2.0,65.0,0.0,1.0,1.0,1.0,2.0,145.0
43967,60657.0,2600.0,1.0,1.0,100.0,2.0,60.0,0.0,1.0,1.0,1.0,2.0,175.0
44258,78703.0,875.0,2.0,1.0,98.0,5.0,40.0,1.0,1.0,1.0,1.0,2.0,147.0
44275,78704.0,960.0,2.0,2.0,98.0,5.0,75.0,1.0,1.0,1.0,1.0,2.0,220.0
